exchangeId,name,rank,percentTotalVolume,volumeUsd,tradingPairs,socket,exchangeUrl,updated
binance,Binance,1,31.827964457915312325000000000000000000,13468374930.8100915901222861,553,True,https://www.binance.com/,1736421069177
crypto,Crypto.com Exchange,2,14.809208704740307364000000000000000000,6266689644.1898010702673485,107,False,https://api.crypto.com/,1736421021785
gdax,Coinbase Pro,3,8.180652182553662256000000000000000000,3461738526.1589314115154412,210,True,https://pro.coinbase.com/,1736421068878
whitebit,WhiteBIT,4,7.991760855674013979000000000000000000,3381806954.8214930884985083,116,False,https://whitebit.com,1736421067364
gate,Gate,5,5.029996412375906965000000000000000000,2128501735.3869957864040281,1038,False,https://gate.io/,1736421069036
digifinex,DigiFinex,6,4.235359053673372697000000000000000000,1792241655.1928709196554771,118,False,https://www.digifinex.com/,1736421068434
bitmax,AscendEX (Bitmax),7,3.697486138955456933000000000000000000,1564634448.6394229535142994,144,False,https://www.bitmax.io/,1736421069211
lbank,LBank,8,3.445721483352351246000000000000000000,1458097293.8530247224063646,126,False,https://www.lbank.info,1736421043076
huobi,Huobi,9,3.254199927844001104000000000000000000,1377052710.5486430542157122,200,True,https://www.hbg.com/,1736421065586
kraken,Kraken,10,3.168413263093133705000000000000000000,1340751081.3176523336653920,309,False,https://kraken.com,1736421068339
bigone,BigONE,11,2.789285556716509346000000000000000000,1180318763.9167013304025557,57,False,https://big.one/,1736421062629
kucoin,Kucoin,12,2.471435905281891240000000000000000000,1045816971.2302980795803174,502,False,https://www.kucoin.io/,1736421020356
probit,ProBit,13,1.275158363450298299000000000000000000,539598156.1376832893425035,310,False,https://www.probit.com/en-us/,1736421068673
bitstamp,Bitstamp,14,0.980764595335542179000000000000000000,415021994.4574021185595235,89,True,https://www.bitstamp.net/,1736421066693
uniswap-42161-univ3,UNISWAP UNIV3 (Arbitrum),15,0.839520465907445027000000000000000000,355252891.2705224283810291,5,True,https://uniswap.org/,1736421064700
bitfinex,Bitfinex,16,0.780152785940528781000000000000000000,330130764.0410532571420129,132,True,https://bitfinex.com,1736421067506
yobit,YoBit,17,0.704130611717370977000000000000000000,297961093.0321922830259587,11,False,https://yobit.net,1736421054819
hitbtc,HitBTC,18,0.643223799945072458000000000000000000,272187664.2012577429307370,239,True,https://hitbtc.com/,1736421065224
bibox,Bibox,19,0.598243691305679731000000000000000000,253153805.8348219813877620,130,False,https://www.bibox.com,1736421048534
dex-trade,Dex-Trade,20,0.564408607625514383000000000000000000,238836094.9607144961636628,74,False,https://dex-trade.com/,1736421069013
gemini,Gemini,21,0.445868358425015678000000000000000000,188674403.8876012007383565,57,True,https://gemini.com/,1736421040389
coincheck,coincheck,22,0.281492576287980651000000000000000000,119116871.6648273930998041,1,False,coincheck,1736421051987
uniswap-8453-univ3,UNISWAP UNIV3 (Base),23,0.228527148543640348000000000000000000,96703932.2456336906439373,2,True,https://uniswap.org/,1736421063170
btcturk,BTCTurk,24,0.223910288641783393000000000000000000,94750254.0503644804450025,85,False,https://www.btcturk.com/,1736421057584
bitbank,Bitbank,25,0.157719008987656854000000000000000000,66740640.9093590675552841,4,False,https://www.bibank.com,1736421039969
independentreserve,Independent Reserve,26,0.156856891682207694000000000000000000,66375825.9014913123519513,96,False,https://www.independentreserve.com/,1736421068558
bitkub,Bitkub,27,0.148745052051646445000000000000000000,62943206.2104814252511046,45,False,https://www.bitkub.com/,1736421053161
exmo,Exmo,28,0.144859947907313375000000000000000000,61299179.0113713381509296,110,False,https://www.exmo.com/,1736421013801
alterdice,Alterdice,29,0.104433725523120352000000000000000000,44192350.8060503665912039,1,False,https://alterdice.com/,1736421068624
pancake-8453-univ3,PANCAKE UNIV3 (Base),30,0.088943465769062420000000000000000000,37637466.4552414854516863,1,True,https://pancakeswap.finance/,1736421066874
bitso,Bitso,31,0.077069668733671522000000000000000000,32612930.5463729815139829,27,True,https://www.bitso.com/,1736421025677
indodax,Indodax,32,0.065033936943481273000000000000000000,27519870.0545123641012761,146,False,https://indodax.com/,1736421018303
uniswap-1-univ3,UNISWAP UNIV3 (Ethereum),33,0.063213104023938098000000000000000000,26749363.3361453890371948,2,True,https://uniswap.org/,1736420846784
pancake-1-univ3,PANCAKE UNIV3 (Ethereum),34,0.059576736161180382000000000000000000,25210591.7999785626030996,1,True,https://pancakeswap.finance/,1736421013242
sushi-8453-univ3,SUSHI UNIV3 (Base),35,0.054184165370682920000000000000000000,22928662.4813949296449246,1,True,https://sushi.com/,1736421063165
luno,Luno,36,0.051983970428916513000000000000000000,21997624.2921395566141019,25,True,https://www.luno.com/,1736420983764
itbit,Itbit,37,0.051515606964583298000000000000000000,21799430.8214300568000000,5,False,https://www.itbit.com/,1736421062660
pancake-42161-univ3,PANCAKE UNIV3 (Arbitrum),38,0.046928551340709908000000000000000000,19858364.6545221172876371,3,True,https://pancakeswap.finance/,1736421066105
max-exchange,Max,39,0.044685993145548266000000000000000000,18909399.9597633722154636,22,False,https://max.maicoin.com/,1736421057361
kickex,KickEX,40,0.038302116915739920000000000000000000,16207988.1654705504457067,34,False,https://kickex.com,1736421068707
uniswap-10-univ3,UNISWAP UNIV3 (Optimism),41,0.038231946762606639000000000000000000,16178294.8455411210356300,3,True,https://uniswap.org/,1736421059973
sushi-42161-univ3,SUSHI UNIV3 (Arbitrum),42,0.034015589504902557000000000000000000,14394094.0222654642088412,3,True,https://sushi.com/,1736421061991
binanceus,Binance.US,43,0.025566735445324922000000000000000000,10818862.7390789136890435,45,False,https://www.binance.us/,1736421061624
btcmarket,BTCMarket,44,0.017795850005124991000000000000000000,7530521.7962776640264857,6,False,https://www.btcmarkets.net/,1736421042372
uniswap-1-univ2,UNISWAP UNIV2 (Ethereum),45,0.016481269155213678000000000000000000,6974241.5545148134209085,4,True,https://uniswap.org/,1736421001307
uniswap-137-univ3,UNISWAP UNIV3 (Polygon),46,0.015694712828683595000000000000000000,6641401.0574759488427565,4,True,https://uniswap.org/,1736421065664
uniswap-8453-univ2,UNISWAP UNIV2 (Base),47,0.011854933561836704000000000000000000,5016553.6096969299822093,1,True,https://uniswap.org/,1736421054716
coinmate,Coinmate,48,0.0056603562585024436017000000000000000000,2395245.8672709494815387,3,True,https://coinmate.io/,1736421046086
tidex,Tidex,49,0.0042136646193692959327000000000000000000,1783061.4019125996646412,9,False,https://tidex.com/,1736421065288
paribu,Paribu,50,0.0040202889437468706744000000000000000000,1701232.2260246696710983,9,False,https://www.paribu.com/,1736421042265
btcbox,BTCBOX,51,0.0036178378655601433516000000000000000000,1530930.3514107680635464,1,False,https://www.btcbox.co.jp,1736421055285
gopax,GOPAX,52,0.0007573406387461193553000000000000000000,320477.5374956552095609,28,False,https://www.gopax.co.kr/,1736421047199
sushi-1-univ2,SUSHI UNIV2 (Ethereum),53,0.0003496104458596080855000000000000000000,147941.7438331931783933,2,True,https://sushi.com/,1736420629901
cex,Cex,54,0.0002529310175993909182000000000000000000,107030.7144889607033157,51,False,https://www.cex.io/,1736421026115
sushi-10-univ3,SUSHI UNIV3 (Optimism),55,0.0001480753906185676457000000000000000000,62659.8311530116142026,2,True,https://sushi.com/,1736420843688
sushi-42161-univ2,SUSHI UNIV2 (Arbitrum),56,0.0000872254536591822692000000000000000000,36910.4695634944996067,3,True,https://sushi.com/,1736420978093
pancake-1-univ2,PANCAKE UNIV2 (Ethereum),57,0.0000676114117063053261000000000000000000,28610.5586069115113065,1,True,https://pancakeswap.finance/,1736420413407
uniswap-42161-univ2,UNISWAP UNIV2 (Arbitrum),58,0.0000603224708409628845000000000000000000,25526.1581403739359439,3,True,https://uniswap.org/,1736420903374
raydium-900,RAYDIUM (Solana),59,0.0000505958292635027320000000000000000000,21410.2161436415475109,1,True,https://curve.fi/,1736420979606
quickswap-137-univ2,QUICKSWAP UNIV2 (Polygon),60,0.0000494194448624769886000000000000000000,20912.4153434451994686,3,True,https://quickswap.exchange/,1736420300222
sushi-137-univ2,SUSHI UNIV2 (Polygon),61,0.0000325904663007945329000000000000000000,13791.0364921207465701,2,True,https://sushi.com/,1736420987716
btctradeua,BTC Trade UA,62,0.0000298064732943856676000000000000000000,12612.9573326870079519,9,False,https://btc-trade.com.ua/,1736421029383
shibaswap-1-univ2,SHIBASWAP UNIV2 (Ethereum),63,0.0000204123589766641291000000000000000000,8637.7281300384629521,1,True,https://shibaswap.com/,1736418615183
sushi-137-univ3,SUSHI UNIV3 (Polygon),64,0.0000017588677029878649000000000000000000,744.2854131892822857,2,True,https://sushi.com/,1736420089953
sushi-8453-univ2,SUSHI UNIV2 (Base),65,0.00000093277836682500655736000000000000000000,394.7160613541403217,1,True,https://sushi.com/,1736420812876
camelot-42161-univ2,CAMELOT UNIV2 (Arbitrum),66,0.00000055537122720699160648000000000000000000,235.0118218743859777,2,True,https://camelot.exchange/,1736420758821
uniswap-137-univ2,UNISWAP UNIV2 (Polygon),67,0.00000015558770051694310055000000000000000000,65.8387528349665004,3,True,https://uniswap.org/,1736418984597
uniswap-10-univ2,UNISWAP UNIV2 (Optimism),68,0.00000011536126126740839034000000000000000000,48.8164651966676056,2,True,https://uniswap.org/,1736421023846
sushi-1-univ3,SUSHI UNIV3 (Ethereum),69,0.00000009928538411095567842000000000000000000,42.0137700016594665,1,True,https://sushi.com/,1736419861526
pancake-8453-univ2,PANCAKE UNIV2 (Base),70,0.00000007075714428725327591000000000000000000,29.9417120926549390,1,True,https://pancakeswap.finance/,1736420972525
pancake-42161-univ2,PANCAKE UNIV2 (Arbitrum),71,0.00000000838736269165753881000000000000000000,3.5492104925936958,1,True,https://pancakeswap.finance/,1736418847181
osmosis,Osmosis,72,,,0,,https://app.osmosis.zone/,0
aerodrome-8453-univ3,AERODROME UNIV3 (Base),73,,,0,,https://aerodrome.io/,0
okex,Okex,74,,,0,,https://www.okex.com/,0
okcoin,OkCoin,75,,,0,,https://www.okcoin.com,1681374633809
poloniex,Poloniex,76,,,0,,https://poloniex.com/,1692177923613
mxc-com,MXC.COM,77,,,0,,https://www.mxc.com/,0
qryptos,Liquid,78,,,0,,https://www.qryptos.com/,1721992568436
mercatox,Mercatox,79,,,0,,https://mercatox.com/,1733413608230
quoine,Quoine,80,,,0,,https://quoine.com/,1721992568616
kuna,Kuna,81,,,0,,https://kuna.io/,1677701260207
hotbit,Hotbit,82,,,0,,https://www.hotbit.io/,1684920757709
smardex-137-univ2,SMARDEX UNIV2 (Polygon),83,,,0,,https://smardex.io/,0
smardex-1-univ2,SMARDEX UNIV2 (Ethereum),84,,,0,,https://smardex.io/,0
smardex-42161-univ2,SMARDEX UNIV2 (Arbitrum),85,,,0,,https://smardex.io/,1725041095753
smardex-8453-univ2,SMARDEX UNIV2 (Base),86,,,0,,https://smardex.io/,1725041092114
sushi,SushiSwap,87,,,0,,https://sushi.com/,1719351130344
fraxswap-42161-univ2,FRAXSWAP UNIV2 (Arbitrum),88,,,0,,https://fraxswap.com/,0
fraxswap-1-univ2,FRAXSWAP UNIV2 (Ethereum),89,,,0,,https://fraxswap.com/,0
fraxswap-137-univ2,FRAXSWAP UNIV2 (Polygon),90,,,0,,https://fraxswap.com/,0
fraxswap-10-univ2,FRAXSWAP UNIV2 (Optimism),91,,,0,,https://fraxswap.com/,0
exmarkets,ExMarkets,92,,,0,,https://exmarkets.com/,1716390699724
curve-8453,CURVE (Base),93,,,0,,https://curve.fi/,0
curve-42161,CURVE (Arbitrum),94,,,0,,https://curve.fi/,1725041066209
curve-137,CURVE (Polygon),95,,,0,,https://curve.fi/,0
curve-10,CURVE (Optimism),96,,,0,,https://curve.fi/,0
therocktrading,The Rock Trading,97,,,0,,https://www.therocktrading.com,1676660097265
thorchain,THORChain,98,,,0,,https://thorchain.org/,1668435396236
curve-1,CURVE (Ethereum),99,,,0,,https://curve.fi/,1729009345822
uniswap,Uniswap (V2),100,,,0,,https://www.uniswap.io/,1719351138262
